title,url,category
中国煤炭资产管理集团有限公司顺义数据中心测试验证及国标等级认证服务项目变更公告,https://www.zmzb.com/cms/channel/ywgg3fw/53091.htm,变更公告-服务
中国煤炭资产管理集团有限公司顺义数据中心测试验证及国标等级认证服务项目项目公告,https://www.zmzb.com/cms/channel/ywgg1fw/52843.htm,招标公告-服务
中国地方煤矿有限公司关于开展电力、化工及煤炭企业碳资产管理技术服务合格供应商入围项目中标公告,https://www.zmzb.com/cms/channel/ywgg5fw/50223.htm,中标公告-服务
中国地方煤矿有限公司关于开展电力、化工及煤炭企业碳资产管理技术服务合格供应商入围项目中标候选人公示,https://www.zmzb.com/cms/channel/ywgg4fw/49718.htm,候选人公示-服务
中国地方煤矿有限公司关于开展电力、化工及煤炭企业碳资产管理技术服务合格供应商入围项目中标候选人公示,https://www.zmzb.com/cms/channel/ywgg4fw/49717.htm,候选人公示-服务
中国地方煤矿有限公司关于开展电力、化工及煤炭企业碳资产管理技术服务合格供应商入围项目中标候选人公示,https://www.zmzb.com/cms/channel/ywgg4fw/49716.htm,候选人公示-服务
中国地方煤矿有限公司关于开展电力、化工及煤炭企业碳资产管理技术服务合格供应商入围项目项目公告,https://www.zmzb.com/cms/channel/ywgg1fw/48505.htm,招标公告-服务
中国煤炭地质总局财务共享及周边系统建设项目变更公告,https://www.zmzb.com/cms/channel/ywgg3fw/44475.htm,变更公告-服务
中国煤炭地质总局财务共享及周边系统建设项目项目公告,https://www.zmzb.com/cms/channel/ywgg1fw/44404.htm,招标公告-服务
中煤科技产业基地(一期)集团公司数据中心项目工艺机电部分监理招标项目项目公告,https://www.zmzb.com/cms/channel/ywgg1fw/43298.htm,招标公告-服务
中煤信息技术(北京)有限公司智控项目数据治理咨询及实施数据资产管理平台采购中标公告,https://www.zmzb.com/cms/channel/ywgg5hw/40522.htm,中标公告-货物
中煤信息技术(北京)有限公司智控项目数据治理咨询及实施数据资产管理平台采购中标候选人公示,https://www.zmzb.com/cms/channel/ywgg4hw/40419.htm,候选人公示-货物
中煤科技产业基地(一期)项目集团公司数据中心工艺机电部分施工招标项目项目公告,https://www.zmzb.com/cms/channel/ywgg1gc/38580.htm,招标公告-工程
中煤信息技术(北京)有限公司智控项目数据治理咨询及实施数据资产管理平台采购项目公告,https://www.zmzb.com/cms/channel/ywgg1hw/37896.htm,招标公告-货物
中煤集团科技产业基地(一期)项目电梯工程(含设备、安装调试)采购项目项目公告,https://www.zmzb.com/cms/channel/ywgg1hw/36106.htm,招标公告-货物
中煤实业有限责任公司职工餐厅食材采购项目项目公告,https://www.zmzb.com/cms/channel/ywgg1fw/36102.htm,招标公告-服务
资产管理公司所属时代公司获多家产权交易机构颁发奖项,https://www.zmzb.com/cms/channel/zxzx3/35369.htm,-
地煤公司煤矿安全技能智能培训系统项目项目公告,https://www.zmzb.com/cms/channel/ywgg1fw/35073.htm,招标公告-服务
甘肃灵南煤业有限公司《唐家河矿井及选煤厂矿山地质环境保护与土地复垦方案》编制项目公告,https://www.zmzb.com/cms/channel/ywgg1fw/33829.htm,招标公告-服务
《全球矿业发展报告2023》显示 矿业装备走向智能化,https://www.zmzb.com/cms/channel/zxzx2/32213.htm,-
中煤科技产业基地(一期)暨中煤工业物联网及安全预警平台外电源施工监理项目项目公告,https://www.zmzb.com/cms/channel/ywgg1fw/31668.htm,招标公告-服务
中煤科技产业基地(一期)项目暨中煤工业物联网及安全预警平台项目机电工程全过程管理咨询项目项目公告,https://www.zmzb.com/cms/channel/ywgg1fw/30705.htm,招标公告-服务
中国煤炭资产管理集团有限公司中煤科技产业基地(一期)项目暨中煤工业物联网及安全预警平台项目外电源施工项目中标公告,https://www.zmzb.com/cms/channel/ywgg5gc/30427.htm,中标公告-工程
中国煤炭资产管理集团有限公司中煤科技产业基地(一期)项目暨中煤工业物联网及安全预警平台项目外电源施工项目中标候选人公示,https://www.zmzb.com/cms/channel/ywgg4gc/30321.htm,候选人公示-工程
中国煤炭资产管理集团有限公司中煤科技产业基地(一期)项目暨中煤工业物联网及安全预警平台项目外电源施工项目变更公告,https://www.zmzb.com/cms/channel/ywgg3gc/28415.htm,变更公告-工程
中国煤炭资产管理集团有限公司中煤科技产业基地(一期)项目暨中煤工业物联网及安全预警平台项目外电源施工项目项目公告,https://www.zmzb.com/cms/channel/ywgg1gc/28332.htm,招标公告-工程
中煤信息技术(北京)有限公司全厂UPS直流屏电池智能监控采购项目(重新招标)项目公告,https://www.zmzb.com/cms/channel/ywgg1hw/24484.htm,招标公告-货物
北京中煤商务服务有限公司劳保类工作服采购项目项目公告,https://www.zmzb.com/cms/channel/ywgg1hw/23888.htm,招标公告-货物
北京中煤商务服务有限公司正装类工作服采购项目项目公告,https://www.zmzb.com/cms/channel/ywgg1hw/23886.htm,招标公告-货物
中煤信息技术(北京)有限公司全厂UPS直流屏电池智能监控采购项目项目公告,https://www.zmzb.com/cms/channel/ywgg1hw/22783.htm,招标公告-货物
地煤公司圆满完成集团公司所属重点排放单位碳排放权首年履约,https://www.zmzb.com/cms/channel/zxzx3/10860.htm,-
鄂尔多斯市伊化矿业资源有限责任公司治安保卫和后勤管理服务(3年期)项目二次公告,https://www.zmzb.com/cms/channel/ywgg1fw/9928.htm,招标公告-服务
鄂尔多斯市伊化矿业资源有限责任公司治安保卫和后勤管理服务(3年期)项目项目公告,https://www.zmzb.com/cms/channel/ywgg1fw/9274.htm,招标公告-服务
中煤工业物联网及安全预警平台项目(方案设计、初步设计、施工图设计)(lx)【重新招标】中标公告,https://www.zmzb.com/cms/channel/ywgg5fw/5053.htm,中标公告-服务
中煤工业物联网及安全预警平台项目(方案设计、初步设计、施工图设计)(lx)【重新招标】中标候选人公示,https://www.zmzb.com/cms/channel/ywgg4fw/4814.htm,候选人公示-服务
中国煤炭资产管理集团有限公司中煤工业物联网及安全预警平台项目(方案设计、初步设计、施工图设计)(lx)【重新招标】项目公告,https://www.zmzb.com/cms/channel/ywgg1fw/3558.htm,招标公告-服务
中国煤炭资产管理集团有限公司中煤工业物联网及安全预警平台项目(方案设计、初步设计、施工图设计)(lx),https://www.zmzb.com/cms/channel/ywgg3fw/3526.htm,变更公告-服务
中国煤炭资产管理集团有限公司中煤工业物联网及安全预警平台项目(方案设计、初步设计、施工图设计)(lx)项目公告,https://www.zmzb.com/cms/channel/ywgg1fw/2946.htm,招标公告-服务
中国煤炭资产管理集团有限公司中煤科技产业基地《中煤工业物联网和安全预警平台》项目外电源供电方案及初步设计招标中标候选人公示,https://www.zmzb.com/cms/channel/ywgg4fw/2288.htm,候选人公示-服务
中国煤炭资产管理集团有限公司中煤科技产业基地《中煤工业物联网和安全预警平台》项目外电源供电方案招标项目(lx)项目公告,https://www.zmzb.com/cms/channel/ywgg1fw/1255.htm,招标公告-服务
中煤工业物联网及安全预警平台项目(方案设计、初步设计、施工图设计)(lx)【重新招标】中标公告,https://www.zmzb.com/cms/channel/ywgg5fw/5053.htm,中标公告-服务
中煤工业物联网及安全预警平台项目(方案设计、初步设计、施工图设计)(lx)【重新招标】中标候选人公示,https://www.zmzb.com/cms/channel/ywgg4fw/4814.htm,候选人公示-服务
中国煤炭资产管理集团有限公司中煤工业物联网及安全预警平台项目(方案设计、初步设计、施工图设计)(lx)【重新招标】项目公告,https://www.zmzb.com/cms/channel/ywgg1fw/3558.htm,招标公告-服务
中国煤炭资产管理集团有限公司中煤工业物联网及安全预警平台项目(方案设计、初步设计、施工图设计)(lx),https://www.zmzb.com/cms/channel/ywgg3fw/3526.htm,变更公告-服务
中国煤炭资产管理集团有限公司中煤工业物联网及安全预警平台项目(方案设计、初步设计、施工图设计)(lx)项目公告,https://www.zmzb.com/cms/channel/ywgg1fw/2946.htm,招标公告-服务
中国煤炭资产管理集团有限公司中煤科技产业基地《中煤工业物联网和安全预警平台》项目外电源供电方案及初步设计招标中标候选人公示,https://www.zmzb.com/cms/channel/ywgg4fw/2288.htm,候选人公示-服务
中国煤炭资产管理集团有限公司中煤科技产业基地《中煤工业物联网和安全预警平台》项目外电源供电方案招标项目(lx)项目公告,https://www.zmzb.com/cms/channel/ywgg1fw/1255.htm,招标公告-服务
中国煤炭资产管理集团有限公司中煤科技产业基地《中煤工业物联网和安全预警平台》项目外电源供电方案招标项目(lx)项目公告,https://www.zmzb.com/cms/channel/ywgg1fw/1254.htm,招标公告-服务
